2021 super output area - middle layer,mnemonic,Total: All usual residents aged 16 years and over not in employment the week before the census,%,Not in employment: Worked in the last 12 months,%,Not in employment: Not worked in the last 12 months,%,Not in employment: Never worked,%
,,,,,,,,,
Manchester 001,E02001045,3158,100,374,11.8,1621,51.3,1163,36.8
Manchester 002,E02001046,3747,100,498,13.3,1789,47.7,1460,39
Manchester 003,E02001047,3792,100,510,13.4,2022,53.3,1260,33.2
Manchester 004,E02001048,3337,100,463,13.9,1524,45.7,1350,40.5
Manchester 005,E02001049,3614,100,432,12,2017,55.8,1165,32.2
Manchester 006,E02001050,3083,100,422,13.7,1261,40.9,1400,45.4
Manchester 007,E02001051,3104,100,470,15.1,1431,46.1,1203,38.8
Manchester 008,E02001052,5600,100,672,12,1747,31.2,3181,56.8
Manchester 009,E02001053,4472,100,565,12.6,1810,40.5,2097,46.9
Manchester 011,E02001055,3574,100,419,11.7,1765,49.4,1390,38.9
Manchester 012,E02001056,3380,100,433,12.8,1472,43.6,1475,43.6
Manchester 015,E02001059,4109,100,599,14.6,1662,40.4,1848,45
Manchester 017,E02001061,3940,100,538,13.7,1730,43.9,1672,42.4
Manchester 018,E02001062,4395,100,822,18.7,1413,32.2,2160,49.1
Manchester 019,E02001063,5826,100,2183,37.5,1519,26.1,2124,36.5
Manchester 020,E02001064,4073,100,549,13.5,1452,35.6,2072,50.9
Manchester 021,E02001065,3290,100,447,13.6,1499,45.6,1344,40.9
Manchester 022,E02001066,5960,100,1570,26.3,1850,31,2540,42.6
Manchester 023,E02001067,3969,100,538,13.6,1474,37.1,1957,49.3
Manchester 024,E02001068,4512,100,691,15.3,1404,31.1,2417,53.6
Manchester 025,E02001069,5393,100,1171,21.7,1653,30.7,2569,47.6
Manchester 026,E02001070,6799,100,1933,28.4,1838,27,3028,44.5
Manchester 028,E02001072,2771,100,443,16,1143,41.2,1185,42.8
Manchester 029,E02001073,2571,100,420,16.3,1372,53.4,779,30.3
Manchester 030,E02001074,4397,100,610,13.9,1731,39.4,2056,46.8
Manchester 031,E02001075,3015,100,472,15.7,1090,36.2,1453,48.2
Manchester 032,E02001076,6992,100,2978,42.6,2316,33.1,1698,24.3
Manchester 033,E02001077,2099,100,320,15.2,1137,54.2,642,30.6
Manchester 034,E02001078,3868,100,581,15,1782,46.1,1505,38.9
Manchester 035,E02001079,3914,100,909,23.2,1611,41.2,1394,35.6
Manchester 036,E02001080,5145,100,1832,35.6,2133,41.5,1180,22.9
Manchester 037,E02001081,1642,100,232,14.1,990,60.3,420,25.6
Manchester 038,E02001082,2083,100,565,27.1,1022,49.1,496,23.8
Manchester 039,E02001083,1757,100,344,19.6,904,51.5,509,29
Manchester 040,E02001084,3118,100,747,24,1501,48.1,870,27.9
Manchester 041,E02001085,3201,100,368,11.5,1361,42.5,1472,46
Manchester 042,E02001086,2205,100,289,13.1,1111,50.4,805,36.5
Manchester 043,E02001087,2607,100,379,14.5,1710,65.6,518,19.9
Manchester 044,E02001088,3054,100,453,14.8,1647,53.9,954,31.2
Manchester 045,E02001089,2394,100,312,13,1389,58,693,28.9
Manchester 046,E02001090,2403,100,288,12,1423,59.2,692,28.8
Manchester 047,E02001091,2899,100,335,11.6,1769,61,795,27.4
Manchester 048,E02001092,2896,100,430,14.8,1473,50.9,993,34.3
Manchester 049,E02001093,3386,100,430,12.7,1654,48.8,1302,38.5
Manchester 050,E02001094,3497,100,436,12.5,1640,46.9,1421,40.6
Manchester 051,E02001095,3048,100,387,12.7,1594,52.3,1067,35
Manchester 052,E02001096,2820,100,377,13.4,1549,54.9,894,31.7
Manchester 053,E02001097,2949,100,424,14.4,1464,49.6,1061,36
Manchester 054,E02006902,2276,100,732,32.2,756,33.2,788,34.6
Manchester 055,E02006912,3911,100,1091,27.9,912,23.3,1908,48.8
Manchester 056,E02006913,2466,100,393,15.9,763,30.9,1310,53.1
Manchester 057,E02006914,4942,100,2085,42.2,1140,23.1,1717,34.7
Manchester 058,E02006915,3685,100,498,13.5,1364,37,1823,49.5
Manchester 059,E02006916,1807,100,506,28,692,38.3,609,33.7
Manchester 060,E02006917,1726,100,459,26.6,489,28.3,778,45.1
Manchester 061,E02006983,2023,100,332,16.4,804,39.7,887,43.8
Manchester 062,E02006984,1224,100,320,26.1,479,39.1,425,34.7
Manchester 063,E02006985,3605,100,427,11.8,931,25.8,2247,62.3
Manchester 064,E02006986,2152,100,308,14.3,719,33.4,1125,52.3